id,instruction,input,output,source,topic
1,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Yeah. I tried to be safe. I mean, I tried to call her roommate, but I don't know, getting in trouble anyways.","Yeah, I understand that your intention was to have a good time while watching the game with your friends. You didn't think about what could go wrong when you drank alcohol underage because you were at your friend's house and not a big party and you made an effort to be safe by finding a ride home.",AnnoMI-derived authentic counseling turn,substance-use counseling
2,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Yeah, um, last week I met with my nurse practitioner, and I ge-I guess she's worried with how much I'm smoking and drinking right now. I mean, I-I did agree I would work on the smoking and try to cut back on that. But, as far as the drinking, I-I don't really think I drink that much.","Hi, Sarah, it's great to meet you. My name is Delwyn, and I'm a counselor here at the clinic. And I heard from your nurse practitioner that you recently had an annual exam in which the topics of smoking and alcohol use came up. Would you mind filling me in a little bit about that?",AnnoMI-derived authentic counseling turn,substance-use counseling
3,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Um, I really only drink at parties. I don't drink at home or anything.",Okay. How would you describe your drinking?,AnnoMI-derived authentic counseling turn,substance-use counseling
4,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Um, I've never really been drunk-","-was two? Okay. And, what kinds of things do you like about alcohol?",AnnoMI-derived authentic counseling turn,substance-use counseling
5,Act as a recovery-support counselor and encourage reflection and a realistic next step.,"My family keeps telling me to get help, but I do not know where to start.",Reaching out can be a strong first step. Would you be open to talking with a qualified addiction counselor or healthcare professional about support options that fit your situation?,synthetic drug-recovery counseling augmentation,drug-use recovery counseling - professional help
6,Respond as a supportive addiction counselor using motivational interviewing.,"My family keeps telling me to get help, but I do not know where to start.",Reaching out can be a strong first step. Would you be open to talking with a qualified addiction counselor or healthcare professional about support options that fit your situation?,synthetic drug-recovery counseling augmentation,drug-use recovery counseling - professional help
7,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,I guess I'll do the same thing. I'll go home and throw out the bottles of wine and stop having a glass at the end of the day.,"I'm trying not to be hard on you, Hailey, but I've got to tell you as a position, it's a very big deal. Your drinking and your tobacco use are red flags for me and they need to stop immediately. So we've already talked about your plan for smoking. You're going home. You're throwing out your cigarettes. You're putting on the patches. What's the plan for the alcohol?",AnnoMI-derived authentic counseling turn,substance-use counseling
8,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Yeah.,Scholarship will really help you achieving your goals.,AnnoMI-derived authentic counseling turn,substance-use counseling
9,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Okay.,Yes.,AnnoMI-derived authentic counseling turn,substance-use counseling
10,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,All right.,"So thanks for coming in, Sandra. We'll see you next week.",AnnoMI-derived authentic counseling turn,substance-use counseling
11,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Yeah, for sure.","-and it-it kinda, um, prevents them from trying to stuff something else in there. Do you think any of those things might work for you?",AnnoMI-derived authentic counseling turn,substance-use counseling
12,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Oh, absolutely not. I mean I thought of it more as a- a fun thing to do with my friends, certainly not a smoking habit or anything that would be harmful.","Were you aware of the fact that smoking these little cigarillos, the Swisher Sweets, can have some of the same negative health effects?",AnnoMI-derived authentic counseling turn,substance-use counseling
13,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Maybe if it's on a weekend, maybe six.",Mm-hmm.,AnnoMI-derived authentic counseling turn,substance-use counseling
14,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Yeah. And I mean and that's-that's a reasonable thing- [crosstalk],"I, uh, mean that's up to you.",AnnoMI-derived authentic counseling turn,substance-use counseling
15,Use motivational interviewing principles to respond to this substance-use concern.,I feel like one relapse means I have failed completely.,"One setback does not define your whole recovery. What did you learn from this experience that could help you make a different choice the next time you face a similar situation? If you are comfortable, we can explore what matters most to you and identify a practical next step.",synthetic drug-recovery counseling augmentation,drug-use recovery counseling - reframing relapse
16,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Or seven lectures along the road.,".No, it-- but David, it's not a waste. Research shows that people take on average about seven tries before they quit smoking, so think of it as you're one step closer to quitting, so--",AnnoMI-derived authentic counseling turn,substance-use counseling
